Water Use,Power Use,Date,Zip,M_dist,Month,Year,ZPOP,ZAREA,ZAREALAND,Nreturns,AGI,SW,EIC,AWND,CLDD,HTDD,PRCP,TAVG
16.12,542,2008-03-01,90056,0.28208062855121085,3,2008,7827,4090954,4090954,4421,354274,232623.0,1011.0,3.2,6.7,91.5,0.8,15.6
18.86,338,2008-03-01,90016,0.26099005475170045,3,2008,47596,9402209,9393921,20134,678436,570517.0,13117.0,3.2,6.7,91.5,0.8,15.6
27.66,360,2008-03-01,90034,0.1932539053226159,3,2008,57964,8085207,8062311,28191,1579750,1244232.0,5695.0,3.2,6.7,91.5,0.8,15.6
40.87,859,2008-03-01,90049,0.09157270828191055,3,2008,35482,38906432,38905061,19260,5060939,2124002.0,613.0,3.2,6.7,91.5,0.8,15.6
18.84,325,2008-03-01,90003,0.2611440005458574,3,2008,66266,9198045,9197642,21982,524938,463744.0,25506.0,3.2,6.7,91.5,0.8,15.6
43.37,247,2008-03-01,90006,0.07232948401228426,3,2008,59185,4972248,4972248,19691,469843,398768.0,14946.0,3.2,6.7,91.5,0.8,15.6
14.81,377,2008-03-01,90065,0.29216407806849504,3,2008,45527,13674178,13671567,19947,931863,749994.0,8793.0,3.2,6.7,91.5,0.8,15.6
28.75,720,2008-03-01,91326,0.18486385954105883,3,2008,33708,21152755,21131468,15268,1357280,919432.0,1698.0,3.2,6.7,91.5,0.8,15.6
33.63,597,2008-03-01,91324,0.14730108576674827,3,2008,27669,11437330,11373551,11823,735011,499233.0,3575.0,3.2,6.7,91.5,0.8,15.6
25.94,310,2008-03-01,90037,0.20649324362011875,3,2008,62276,7351184,7351184,20572,484425,428398.0,21191.0,3.2,6.7,91.5,0.8,15.6
18.8,345,2008-03-01,90001,0.26145189213417147,3,2008,57110,9071361,9071361,18561,467773,421709.0,18650.0,3.2,6.7,91.5,0.8,15.6
16.5,298,2008-03-01,90063,0.2791556584622277,3,2008,55758,8476100,8476100,18911,544099,477209.0,14024.0,3.2,6.7,91.5,0.8,15.6
61.8,696,2008-03-01,91302,0.06953156530340081,3,2008,25709,69273356,69143126,12150,2315019,1324983.0,890.0,3.2,6.7,91.5,0.8,15.6
36.13,381,2008-03-01,91402,0.12805786149712198,3,2008,69817,9730355,9652884,24484,767715,676185.0,16465.0,3.2,6.7,91.5,0.8,15.6
18.61,694,2008-03-01,91307,0.2629143771786631,3,2008,24474,20860392,20836532,11452,934581,653047.0,1673.0,3.2,6.7,91.5,0.8,15.6
126.59,328,2008-03-01,90010,0.568238965475036,3,2008,3800,1184445,1184445,2055,294093,122651.0,361.0,3.2,6.7,91.5,0.8,15.6
21.0,510,2008-03-01,91306,0.24451785477690036,3,2008,45061,10781255,10718165,19212,835486,699796.0,7353.0,3.2,6.7,91.5,0.8,15.6
21.5,976,2008-03-01,90402,0.24066920992297508,3,2008,12250,5516813,5189913,5890,2067107,860389.0,196.0,3.2,6.7,91.5,0.8,15.6
26.94,414,2008-03-01,91411,0.19879595391226826,3,2008,24628,5289571,5289571,9448,430855,336333.0,4237.0,3.2,6.7,91.5,0.8,15.6
17.04,346,2008-03-01,90044,0.2749991220199884,3,2008,89779,13303825,13303825,31106,805687,698006.0,33008.0,3.2,6.7,91.5,0.8,15.6
24.67,775,2008-03-01,91364,0.21626880154908892,3,2008,25851,19680220,19665436,12805,1635644,1029950.0,1490.0,3.2,6.7,91.5,0.8,15.6
85.32,0,2008-03-01,90502,0.25057181923204497,3,2008,18010,5821657,5788343,8217,428418,359251.0,2117.0,3.2,6.7,91.5,0.8,15.6
74.96,318,2008-03-01,90744,0.1708278978587136,3,2008,53815,24557568,21593280,19736,659048,587651.0,13099.0,3.2,6.7,91.5,0.8,15.6
0.0,0,2008-03-01,90040,0.4061609386417613,3,2008,12520,14457577,14454795,5102,188247,153991.0,3128.0,3.2,6.7,91.5,0.8,15.6
32.41,367,2008-03-01,91303,0.15669177921032595,3,2008,26855,5644978,5603372,10074,376098,325415.0,5128.0,3.2,6.7,91.5,0.8,15.6
21.73,551,2008-03-01,90064,0.23889883329016945,3,2008,25403,10363493,10360459,13940,1822924,1105519.0,1087.0,3.2,6.7,91.5,0.8,15.6
17.98,586,2008-03-01,91040,0.2677636696946089,3,2008,20372,21257816,21244063,9319,580521,442977.0,1880.0,3.2,6.7,91.5,0.8,15.6
26.19,380,2008-03-01,91606,0.20456892119315614,3,2008,44958,8656643,8631179,19082,642913,545198.0,9800.0,3.2,6.7,91.5,0.8,15.6
46.42,377,2008-03-01,90021,0.04885275040334014,3,2008,3951,5435244,5362540,1075,75267,41458.0,423.0,3.2,6.7,91.5,0.8,15.6
0.0,593,2008-03-01,90403,0.4061609386417613,3,2008,24525,3944526,3697303,14444,1520303,998540.0,803.0,3.2,6.7,91.5,0.8,15.6
22.35,516,2008-03-01,90732,0.23412651367130213,3,2008,21115,9860855,8903149,10255,768799,544913.0,1099.0,3.2,6.7,91.5,0.8,15.6
16.93,362,2008-03-01,90032,0.275845823887852,3,2008,45786,12375736,12347050,18296,629627,554013.0,10631.0,3.2,6.7,91.5,0.8,15.6
89.28,356,2008-03-01,90020,0.2810530864751331,3,2008,38967,2927480,2927480,14996,824982,526453.0,6733.0,3.2,6.7,91.5,0.8,15.6
11.0,244,2008-03-01,90275,0.32149075185540554,3,2008,41804,43402847,35004660,19356,2676707,1433575.0,1227.0,3.2,6.7,91.5,0.8,15.6
40.9,443,2008-03-01,91406,0.09134178959067503,3,2008,51558,21102152,21061927,21563,943320,769047.0,10237.0,3.2,6.7,91.5,0.8,15.6
26.5,619,2008-03-01,91403,0.2021827613837225,3,2008,23484,9443615,9404990,12978,1572417,1035052.0,1265.0,3.2,6.7,91.5,0.8,15.6
